Statistical Areas Level 2 2021 code,Statistical Areas Level 2 2021 name,2020_Forecast,2021_Forecast,2022_Forecast,2023_Forecast
201011001,Alfredton,55510.39724972076,56620.60519471517,57753.01729860948,58908.07764458167
201011002,Ballarat,52931.082364672795,53989.70401196625,55069.49809220558,56170.88805404969
201011005,Buninyong,55545.524785217465,56656.43528092182,57789.563986540255,58945.355266271064
201011006,Delacombe,52130.956479811444,53173.57560940767,54237.047121595824,55321.78806402774
201011007,Smythes Creek,55324.56618465174,56431.05750834478,57559.67865851167,58710.872231681904
201011008,Wendouree - Miners Rest,48307.334256902446,49273.48094204049,50258.950560881305,51264.12957209893
201021010,Creswick - Clunes,46474.88258460459,47404.38023629668,48352.46784102262,49319.51719784307
201021011,Daylesford,48224.165244400465,49188.648549288475,50172.42152027425,51175.869950679735
201021012,Gordon (Vic.),53883.42430079737,54961.09278681332,56060.31464254959,57181.52093540058
201031013,Avoca,42977.95269390859,43837.51174778677,44714.2619827425,45608.54722239735
201031016,Maryborough (Vic.),44678.54227945471,45572.113125043805,46483.55538754468,47413.226495295574
201031017,Maryborough Surrounds,43656.17934837843,44529.302935346,45419.88899405292,46328.28677393398
202011018,Bendigo,48991.84941777992,49971.68640613552,50971.120134258235,51990.5425369434
202011019,California Gully - Eaglehawk,48317.422562643864,49283.771013896745,50269.44643417468,51274.835362858175
202011020,East Bendigo - Kennington,51066.95049733303,52088.2895072797,53130.05529742529,54192.6564033738
202011021,Flora Hill - Spring Gully,51035.012440021295,52055.712688821724,53096.82694259816,54158.76348145013
202011022,Kangaroo Flat - Golden Square,49425.2325498983,50413.73720089626,51422.011944914186,52450.45218381247
202011025,White Hills - Ascot,46850.88673181099,47787.90446644721,48743.66255577615,49718.535806891676
202021026,Bendigo Surrounds - South,54474.76229166183,55564.25753749507,56675.54268824497,57809.05354200987
202021027,Castlemaine,48032.04135662994,48992.68218376254,49972.535827437794,50971.98654398655
202021028,Castlemaine Surrounds,47923.49339983291,48881.96326782957,49859.60253318616,50856.794583849885
202021031,Woodend,61080.117124017175,62301.71946649752,63547.75385582747,64818.70893294402
202031032,Bendigo Surrounds - North,49714.46218969175,50708.75143348559,51722.9264621553,52757.38499139841
202031033,Loddon,40909.51933445694,41727.70972114608,42562.263915569,43413.50919388038
203011035,Golden Plains - South,53317.576390908835,54383.927918727015,55471.60647710156,56581.03860664359
203011036,Winchelsea,51722.87297333943,52757.330432806215,53812.47704146234,54888.72658229159
203021037,Belmont,51102.99335530604,52125.05322241216,53167.55428686041,54230.90537259762
203021039,Geelong,53087.63353108418,54149.386201705864,55232.37392573998,56337.02140425478
203021040,Geelong West - Hamlyn Heights,56883.09582868058,58020.757745254195,59181.17290015928,60364.79635816247
203021042,Highton,54438.517060793296,55527.28740200916,56637.833150049344,57770.589813050334
203021043,Lara,58212.54217121695,59376.79301464129,60564.328874934115,61775.6154524328
203021044,Leopold,52808.027606651754,53864.18815878479,54941.47192196049,56040.3013603997
203021045,Newcomb - Moolap,47630.07291152439,48582.67436975487,49554.32785714997,50545.414414292965
203021047,North Geelong - Bell Park,51910.15190364933,52948.35494172231,54007.322040556755,55087.46848136789
203031048,Clifton Springs,51143.25174248126,52166.116777330884,53209.4391128775,54273.627895135054
203031051,Portarlington,46331.775894203856,47258.41141208793,48203.57964032969,49167.65123313628
203031053,Torquay,58262.625554265345,59427.878065350655,60616.43562665767,61828.76433919083
204011054,Alexandra,42963.43551139573,43822.704221623644,44699.15830605612,45593.14147217724
204011055,Euroa,45225.51170556237,46130.02193967362,47052.622378467095,47993.67482603644
204011056,Kilmore - Broadford,54461.78698113164,55551.02272075428,56662.04317516936,57795.28403867275
204011058,Nagambie,49527.55957587217,50518.11076738961,51528.4729827374,52559.04244239215
204011059,Seymour,49055.83281806356,50036.94947442483,51037.68846391333,52058.44223319159
204011060,Seymour Surrounds,56006.394047476344,57126.52192842587,58269.05236699439,59434.43341433428
204011062,Yea,46408.76227236987,47336.93751781727,48283.676268173615,49249.34979353709
204021063,Benalla,48705.122735131445,49679.22518983408,50672.809693630756,51686.265887503374
204021065,Rutherglen,49951.17330034278,50950.19676634964,51969.20070167664,53008.58471571017
204021066,Wangaratta,48385.11303382532,49352.81529450183,50339.87160039187,51346.6690323997
204031071,Myrtleford,45363.67786316706,46270.9514204304,47196.37044883901,48140.297857815785
204031072,Towong,45692.80103577598,46606.657056491495,47538.790197621325,48489.56600157375
204031073,West Wodonga,55733.33039115147,56847.9969989745,57984.95693895399,59144.656077733074
205011076,Drouin,48929.926973632726,49908.52551310538,50906.69602336748,51924.82994383483
205011077,Mount Baw Baw Region,47022.208896980825,47962.65307492044,48921.906136418846,49900.34425914723
205011078,Trafalgar (Vic.),49139.998502028546,50122.79847206912,51125.2544415105,52147.759530340714
205011079,Warragul,50781.15341945056,51796.77648783957,52832.71201759636,53889.366257948284
205021081,Bairnsdale,45600.432625894355,46512.44127841224,47442.69010398049,48391.5439060601
205021082,Bruthen - Omeo,44274.49195505867,45159.981794159845,46063.18143004304,46984.445058643905
205021084,Lakes Entrance,43138.69577518481,44001.46969068851,44881.49908450228,45779.12906619232
205021085,Orbost,41282.165217312584,42107.80852165884,42949.96469209201,43808.96398593386
205021086,Paynesville,45040.7262847338,45941.54081042847,46860.37162663704,47797.57905916978
205031087,Foster,42805.29425938096,43661.40014456858,44534.62814745995,45425.320710409156
205031089,Korumburra,46918.74606458795,47857.12098587971,48814.2634055973,49790.54867370925
205031090,Leongatha,46646.15810688446,47579.08126902215,48530.662894402594,49501.276152290644
205031091,Phillip Island,43712.66000317027,44586.91320323368,45478.651467298354,46388.224496644325
205031093,Wonthaggi - Inverloch,45691.96623312157,46605.805557784006,47537.921668939685,48488.68010231848
205041094,Churchill,51106.39702735889,52128.52496790607,53171.0954672642,54234.51737660948
205041095,Moe - Newborough,48942.82511353091,49921.68161580153,50920.11524811756,51938.51755307991
205041096,Morwell,45720.652815695204,46635.06587200911,47567.76718944929,48519.122533238275
205051101,Maffra,48469.34957141628,49438.736562844606,50427.511294101496,51436.06151998353
205051102,Rosedale,48213.89244165453,49178.170290487615,50161.73369629737,51164.96837022332
205051103,Sale,53317.057659289705,54383.3988124755,55471.06678872501,56580.48812449951
206011106,Brunswick East,64071.60055825599,65353.032569421106,66660.09322080953,67993.29508522572
206011107,Brunswick West,58470.39561356357,59639.80352583484,60832.59959635154,62049.25158827857
206011109,Pascoe Vale South,63030.60509782536,64291.21719978187,65577.04154377751,66888.58237465307
206021112,Thornbury,61831.85096649499,63068.48798582489,64329.85774554139,65616.45490045221
206031113,Ascot Vale,65379.486278470846,66687.07600404027,68020.81752412107,69381.2338746035
206031115,Flemington,55742.295069153326,56857.14097053639,57994.28378994712,59154.16946574606
206031116,Moonee Ponds,64765.56684363202,66060.87818050466,67382.09574411475,68729.73765899704
206041117,Carlton,35472.80983482124,36182.26603151766,36905.91135214802,37644.02957919098
206041121,Kensington (Vic.),68965.39479422543,70344.70269010995,71751.59674391215,73186.6286787904
206051129,Elwood,67693.73685287588,69047.6115899334,70428.56382173207,71837.1350981667
206051130,Port Melbourne,74867.12037679825,76364.46278433422,77891.7520400209,79449.58708082132
206051134,St Kilda East,61433.94199814103,62662.62083810385,63915.87325486593,65194.190719963255
206061138,Toorak,57447.26993281502,58596.21533147132,59768.13963810075,60963.50243086277
206071139,Abbotsford,66805.02972791973,68141.13032247811,69503.95292892768,70894.03198750624
206071141,Collingwood,66639.40228830473,67972.19033407082,69331.63414075224,70718.26682356729
206071142,Fitzroy,64385.17074286466,65672.87415772196,66986.33164087641,68326.05827369394
206071143,Fitzroy North,65118.688247650774,66421.0620126038,67749.48325285588,69104.472917913
206071145,Clifton Hill - Alphington,70855.78982522817,72272.90562173275,73718.3637341674,75192.73100885075
207011152,Hawthorn East,60720.62921417128,61935.0417984547,63173.7426344238,64437.21748711228
207021157,Doncaster,47592.08216816609,48543.923811529414,49514.80228776,50505.098333515205
207021160,Templestowe Lower,55579.43117142542,56691.01979485393,57824.840190751005,58981.33699456602
207021425,Doncaster East - South,49134.20719156127,50116.891335392495,51119.229162100346,52141.61374534235
207031161,Blackburn,57605.327631400905,58757.43418402893,59932.582867709505,61131.23452506369
207031162,Blackburn South,54436.47948855741,55525.20907832856,56635.713259895136,57768.42752509304
207031163,Box Hill,42365.14091533165,43212.44373363828,44076.69260831105,44958.22646047727
207031164,Box Hill North,53400.81258695041,54468.82883868942,55558.205415463206,56669.36952377247
207031165,Burwood (Vic.),41544.056172587894,42374.93729603965,43222.43604196044,44086.88476279965
207031166,Burwood East,47241.83959046471,48186.676382274,49150.40990991949,50133.418108117876
207031167,Surrey Hills (East) - Mont Albert,64013.73250052521,65294.00715053572,66599.88729354643,67931.88503941736
208011171,Highett (West) - Cheltenham,66179.41625043422,67503.00457544292,68853.06466695177,70230.12596029081
208021174,Bentleigh - McKinnon,62090.391833758535,63332.19967043371,64598.84366384238,65890.82053711923
208021176,Carnegie,57063.30518788066,58204.57129163827,59368.66271747104,60556.035971820456
208021179,Elsternwick,64543.14213351891,65834.00497618929,67150.68507571307,68493.69877722734
