Statistical Areas Level 2 2021 code,Statistical Areas Level 2 2021 name,2020_Forecast,2021_Forecast,2022_Forecast,2023_Forecast
201011001,Alfredton,54279.425139174265,55365.013641957754,56472.31391479691,57601.76019309285
201011002,Ballarat,52254.26136176614,53299.34658900146,54365.333520781496,55452.640191197126
201011005,Buninyong,52441.782008658,53490.61764883116,54560.430001807785,55651.638601843944
201011006,Delacombe,50926.46977236655,51944.99916781388,52983.89915117016,54043.57713419356
201011007,Smythes Creek,49380.060281746024,50367.661487380945,51375.014717128564,52402.515011471136
201011008,Wendouree - Miners Rest,52472.681817665,53522.1354540183,54592.57816309867,55684.42972636064
201021010,Creswick - Clunes,47560.260435157164,48511.465643860305,49481.69495673751,50471.32885587226
201021011,Daylesford,47410.03438275612,48358.23507041125,49325.39977181947,50311.90776725586
201021012,Gordon (Vic.),50635.10099504172,51647.803014942554,52680.7590752414,53734.37425674623
201031013,Avoca,40512.946142857145,41323.20506571429,42149.66916702858,42992.662550369154
201031016,Maryborough (Vic.),43838.453757936506,44715.222833095235,45609.52728975714,46521.717835552285
201031017,Maryborough Surrounds,44776.9414642857,45672.48029357142,46585.92989944285,47517.648497431706
202011018,Bendigo,51865.89271614351,52903.210570466385,53961.27478187571,55040.50027751323
202011019,California Gully - Eaglehawk,51515.07997128426,52545.38157070995,53596.28920212415,54668.21498616663
202011020,East Bendigo - Kennington,50874.15771731977,51891.64087166617,52929.47368909949,53988.06316288148
202011021,Flora Hill - Spring Gully,50422.396553696344,51430.84448477027,52459.461374465674,53508.65060195499
202011022,Kangaroo Flat - Golden Square,50623.474977918835,51635.94447747721,52668.663367026755,53722.036634367294
202011025,White Hills - Ascot,49496.802892623724,50486.738950476196,51496.47372948572,52526.40320407543
202021026,Bendigo Surrounds - South,51936.01146284272,52974.73169209957,54034.22632594156,55114.910852460394
202021027,Castlemaine,46971.761005772,47911.19622588744,48869.42015040519,49846.80855341329
202021028,Castlemaine Surrounds,46492.61288465211,47422.46514234515,48370.91444519205,49338.33273409589
202021031,Woodend,57064.80322619048,58206.09929071429,59370.22127652858,60557.62570205915
202031032,Bendigo Surrounds - North,48641.687440476184,49614.52118928571,50606.811613071426,51618.947845332856
202031033,Loddon,42686.73717261904,43540.47191607142,44411.28135439285,45299.50698148071
203011035,Golden Plains - South,51108.45716486293,52130.62630816019,53173.23883432339,54236.703611009856
203011036,Winchelsea,46402.985129421235,47331.04483200966,48277.66572864986,49243.21904322286
203021037,Belmont,49317.45794145183,50303.807100280865,51309.88324228648,52336.08090713221
203021039,Geelong,52545.23388438901,53596.13856207679,54668.06133331833,55761.4225599847
